INFO 2026-06-24 16:50:02,652 autoreload 4524 13636 Watching for file changes with StatReloader
INFO 2026-06-24 17:19:35,888 basehttp 4524 14436 "GET /api/schedules/ HTTP/1.1" 200 2533
INFO 2026-06-24 17:19:37,492 basehttp 4524 14436 "GET /api/schedules/ HTTP/1.1" 200 2533
INFO 2026-06-24 17:19:37,515 basehttp 4524 14436 "GET /api/schedules/ HTTP/1.1" 200 2533
WARNING 2026-06-24 17:20:00,504 log 4524 3528 Forbidden: /api/orders/5/
WARNING 2026-06-24 17:20:00,505 basehttp 4524 3528 "PATCH /api/orders/5/ HTTP/1.1" 403 63
INFO 2026-06-24 17:20:01,527 basehttp 4524 3528 "OPTIONS /api/orders/4/ HTTP/1.1" 200 0
WARNING 2026-06-24 17:20:01,552 log 4524 3528 Forbidden: /api/orders/4/
WARNING 2026-06-24 17:20:01,552 basehttp 4524 3528 "PATCH /api/orders/4/ HTTP/1.1" 403 63
INFO 2026-06-24 17:24:55,069 basehttp 4524 3528 "OPTIONS /api/register/ HTTP/1.1" 200 0
INFO 2026-06-24 17:24:56,377 basehttp 4524 3528 "POST /api/register/ HTTP/1.1" 201 84
WARNING 2026-06-24 17:25:06,678 log 4524 3528 Unauthorized: /api/token/
WARNING 2026-06-24 17:25:06,679 basehttp 4524 3528 "POST /api/token/ HTTP/1.1" 401 63
WARNING 2026-06-24 17:25:16,861 log 4524 3528 Unauthorized: /api/token/
WARNING 2026-06-24 17:25:16,862 basehttp 4524 3528 "POST /api/token/ HTTP/1.1" 401 63
INFO 2026-06-24 17:25:26,288 basehttp 4524 3528 "POST /api/token/ HTTP/1.1" 200 575
INFO 2026-06-24 17:25:26,294 basehttp 4524 3528 "GET /api/me/ HTTP/1.1" 200 70
INFO 2026-06-24 17:25:26,421 basehttp 4524 3528 "GET /api/me/ HTTP/1.1" 200 70
INFO 2026-06-24 17:25:26,428 basehttp 4524 9784 "GET /api/orders/ HTTP/1.1" 200 52
INFO 2026-06-24 17:25:26,430 basehttp 4524 3528 "GET /api/me/ HTTP/1.1" 200 70
INFO 2026-06-24 17:25:26,439 basehttp 4524 9784 "GET /api/orders/ HTTP/1.1" 200 52
INFO 2026-06-24 17:25:28,932 basehttp 4524 9784 "GET /api/mix-designs/ HTTP/1.1" 200 3881
INFO 2026-06-24 17:25:28,943 basehttp 4524 9784 "GET /api/mix-designs/ HTTP/1.1" 200 3881
INFO 2026-06-24 17:27:17,461 basehttp 4524 15260 "GET /api/mix-designs/ HTTP/1.1" 200 3881
WARNING 2026-06-24 17:27:39,885 base 4524 13740 Session data corrupted
INFO 2026-06-24 17:27:39,911 basehttp 4524 13740 "GET /admin/core/user/ HTTP/1.1" 302 0
WARNING 2026-06-24 17:27:39,937 base 4524 13740 Session data corrupted
INFO 2026-06-24 17:27:40,396 basehttp 4524 13740 "GET /admin/login/?next=/admin/core/user/ HTTP/1.1" 200 4193
INFO 2026-06-24 17:27:40,907 basehttp 4524 8028 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2026-06-24 17:27:40,941 basehttp 4524 3996 "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2026-06-24 17:27:41,004 basehttp 4524 13068 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2808
INFO 2026-06-24 17:27:41,037 basehttp 4524 6900 "GET /static/admin/css/responsive.css HTTP/1.1" 200 16565
INFO 2026-06-24 17:27:41,062 basehttp 4524 8932 "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2026-06-24 17:27:41,063 basehttp 4524 13740 "GET /static/admin/css/base.css HTTP/1.1" 200 22120
INFO 2026-06-24 17:27:41,120 basehttp 4524 13740 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
WARNING 2026-06-24 17:27:41,295 log 4524 13740 Not Found: /favicon.ico
WARNING 2026-06-24 17:27:41,295 basehttp 4524 13740 "GET /favicon.ico HTTP/1.1" 404 3483
WARNING 2026-06-24 17:27:43,439 base 4524 13740 Session data corrupted
INFO 2026-06-24 17:27:44,762 basehttp 4524 13740 "POST /admin/login/?next=/admin/core/user/ HTTP/1.1" 302 0
INFO 2026-06-24 17:27:45,033 basehttp 4524 13740 "GET /admin/core/user/ HTTP/1.1" 200 15861
INFO 2026-06-24 17:27:45,108 basehttp 4524 13740 "GET /static/admin/css/changelists.css HTTP/1.1" 200 6878
INFO 2026-06-24 17:27:45,120 basehttp 4524 13068 "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2026-06-24 17:27:45,141 basehttp 4524 3996 "GET /static/admin/js/core.js HTTP/1.1" 200 6208
INFO 2026-06-24 17:27:45,150 basehttp 4524 8028 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 9777
INFO 2026-06-24 17:27:45,152 basehttp 4524 8932 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-06-24 17:27:45,197 basehttp 4524 13068 "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
INFO 2026-06-24 17:27:45,204 basehttp 4524 3996 "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2026-06-24 17:27:45,205 basehttp 4524 13740 "GET /static/admin/js/actions.js HTTP/1.1" 200 8076
INFO 2026-06-24 17:27:45,206 basehttp 4524 8932 "GET /static/admin/img/search.svg HTTP/1.1" 200 458
INFO 2026-06-24 17:27:45,211 basehttp 4524 6900 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 285314
INFO 2026-06-24 17:27:45,224 basehttp 4524 13740 "GET /static/admin/img/icon-no.svg HTTP/1.1" 200 560
INFO 2026-06-24 17:27:45,236 basehttp 4524 8932 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
INFO 2026-06-24 17:27:45,264 basehttp 4524 8932 "GET /static/admin/js/filters.js HTTP/1.1" 200 978
INFO 2026-06-24 17:27:45,359 basehttp 4524 8028 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 325171
INFO 2026-06-24 17:27:45,431 basehttp 4524 8028 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2026-06-24 17:27:45,431 basehttp 4524 13740 "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1097
INFO 2026-06-24 17:27:45,432 basehttp 4524 8932 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
INFO 2026-06-24 17:27:45,434 basehttp 4524 6900 "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 581
INFO 2026-06-24 17:28:11,444 basehttp 4524 6900 "GET /admin/core/mixdesign/ HTTP/1.1" 200 61616
INFO 2026-06-24 17:28:11,481 basehttp 4524 6900 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-06-24 17:29:44,414 basehttp 4524 15260 "GET /api/mix-designs/ HTTP/1.1" 200 3881
INFO 2026-06-24 17:29:44,422 basehttp 4524 15260 "OPTIONS /api/mix-designs/?page=2 HTTP/1.1" 200 0
INFO 2026-06-24 17:29:44,428 basehttp 4524 15260 "GET /api/mix-designs/?page=2 HTTP/1.1" 200 3937
INFO 2026-06-24 17:29:44,433 basehttp 4524 15260 "OPTIONS /api/mix-designs/?page=3 HTTP/1.1" 200 0
INFO 2026-06-24 17:29:44,439 basehttp 4524 15260 "GET /api/mix-designs/?page=3 HTTP/1.1" 200 3971
INFO 2026-06-24 17:29:44,443 basehttp 4524 15260 "OPTIONS /api/mix-designs/?page=4 HTTP/1.1" 200 0
INFO 2026-06-24 17:29:44,483 basehttp 4524 15260 "GET /api/mix-designs/?page=4 HTTP/1.1" 200 3987
INFO 2026-06-24 17:29:44,489 basehttp 4524 15260 "OPTIONS /api/mix-designs/?page=5 HTTP/1.1" 200 0
INFO 2026-06-24 17:29:44,494 basehttp 4524 15260 "GET /api/mix-designs/?page=5 HTTP/1.1" 200 3996
INFO 2026-06-24 17:29:44,500 basehttp 4524 15260 "OPTIONS /api/mix-designs/?page=6 HTTP/1.1" 200 0
INFO 2026-06-24 17:29:44,538 basehttp 4524 15260 "GET /api/mix-designs/?page=6 HTTP/1.1" 200 3773
INFO 2026-06-24 17:30:35,775 basehttp 4524 15260 "POST /api/orders/ HTTP/1.1" 201 718
INFO 2026-06-24 17:30:35,985 basehttp 4524 14696 "GET /api/me/ HTTP/1.1" 200 70
INFO 2026-06-24 17:30:36,000 basehttp 4524 15260 "GET /api/orders/ HTTP/1.1" 200 770
INFO 2026-06-24 17:30:36,000 basehttp 4524 14696 "GET /api/me/ HTTP/1.1" 200 70
INFO 2026-06-24 17:30:36,015 basehttp 4524 15260 "GET /api/orders/ HTTP/1.1" 200 770
INFO 2026-06-24 17:30:38,987 basehttp 4524 15260 "OPTIONS /api/orders/7/ HTTP/1.1" 200 0
INFO 2026-06-24 17:30:38,987 basehttp 4524 14696 "OPTIONS /api/orders/7/ HTTP/1.1" 200 0
INFO 2026-06-24 17:30:39,005 basehttp 4524 14696 "GET /api/orders/7/ HTTP/1.1" 200 718
INFO 2026-06-24 17:30:39,023 basehttp 4524 14696 "GET /api/orders/7/ HTTP/1.1" 200 718
INFO 2026-06-24 17:30:53,114 basehttp 4524 5244 "GET /api/orders/ HTTP/1.1" 200 8716
INFO 2026-06-24 17:30:53,152 basehttp 4524 5244 "GET /api/orders/ HTTP/1.1" 200 8716
INFO 2026-06-24 17:30:55,472 basehttp 4524 1228 "OPTIONS /api/orders/7/ HTTP/1.1" 200 0
INFO 2026-06-24 17:30:55,472 basehttp 4524 5244 "OPTIONS /api/orders/7/ HTTP/1.1" 200 0
INFO 2026-06-24 17:30:55,492 basehttp 4524 5244 "GET /api/orders/7/ HTTP/1.1" 200 718
INFO 2026-06-24 17:30:55,507 basehttp 4524 5244 "GET /api/orders/7/ HTTP/1.1" 200 718
INFO 2026-06-24 17:31:07,849 basehttp 4524 11516 "OPTIONS /api/orders/7/preview_quotation/ HTTP/1.1" 200 0
INFO 2026-06-24 17:31:07,854 basehttp 4524 11516 "POST /api/orders/7/preview_quotation/ HTTP/1.1" 200 268
INFO 2026-06-24 17:31:09,576 basehttp 4524 11516 "OPTIONS /api/orders/7/send_quotation/ HTTP/1.1" 200 0
INFO 2026-06-24 17:31:09,618 basehttp 4524 11516 "POST /api/orders/7/send_quotation/ HTTP/1.1" 200 111
INFO 2026-06-24 17:31:09,645 basehttp 4524 11516 "GET /api/orders/7/ HTTP/1.1" 200 1315
INFO 2026-06-24 17:31:14,280 basehttp 4524 14696 "GET /api/orders/7/ HTTP/1.1" 200 1315
INFO 2026-06-24 17:31:30,454 basehttp 4524 11516 "POST /api/orders/7/preview_quotation/ HTTP/1.1" 200 268
INFO 2026-06-24 17:31:32,000 basehttp 4524 11516 "POST /api/orders/7/send_quotation/ HTTP/1.1" 200 111
INFO 2026-06-24 17:31:32,023 basehttp 4524 11516 "GET /api/orders/7/ HTTP/1.1" 200 1318
INFO 2026-06-24 17:31:41,514 basehttp 4524 14696 "OPTIONS /api/quotations/7/customer_decision/ HTTP/1.1" 200 0
INFO 2026-06-24 17:31:41,575 basehttp 4524 14696 "POST /api/quotations/7/customer_decision/ HTTP/1.1" 200 32
INFO 2026-06-24 17:31:43,133 basehttp 4524 14696 "GET /api/orders/7/ HTTP/1.1" 200 1322
INFO 2026-06-24 17:32:22,283 basehttp 4524 11516 "OPTIONS /api/orders/7/submit_inspection/ HTTP/1.1" 200 0
INFO 2026-06-24 17:32:22,308 basehttp 4524 11516 "POST /api/orders/7/submit_inspection/ HTTP/1.1" 200 113
INFO 2026-06-24 17:32:22,342 basehttp 4524 11516 "GET /api/orders/7/ HTTP/1.1" 200 1445
INFO 2026-06-24 17:32:35,419 basehttp 4524 14696 "GET /api/orders/7/ HTTP/1.1" 200 1445
INFO 2026-06-24 17:38:31,076 basehttp 4524 11248 "OPTIONS /api/orders/7/cancel_order/ HTTP/1.1" 200 0
INFO 2026-06-24 17:38:31,125 basehttp 4524 11248 "POST /api/orders/7/cancel_order/ HTTP/1.1" 200 137
INFO 2026-06-24 17:38:31,156 basehttp 4524 11248 "GET /api/orders/7/ HTTP/1.1" 200 1504
INFO 2026-06-24 17:38:36,151 basehttp 4524 5436 "GET /api/orders/7/ HTTP/1.1" 200 1504
INFO 2026-06-24 17:38:51,263 basehttp 4524 5436 "GET /api/me/ HTTP/1.1" 200 70
INFO 2026-06-24 17:38:51,272 basehttp 4524 5436 "GET /api/me/ HTTP/1.1" 200 70
INFO 2026-06-24 17:38:51,280 basehttp 4524 11768 "GET /api/orders/ HTTP/1.1" 200 1556
INFO 2026-06-24 17:38:51,297 basehttp 4524 11768 "GET /api/orders/ HTTP/1.1" 200 1556
INFO 2026-06-24 17:38:53,277 basehttp 4524 11768 "GET /api/orders/7/ HTTP/1.1" 200 1504
INFO 2026-06-24 17:38:53,294 basehttp 4524 11768 "GET /api/orders/7/ HTTP/1.1" 200 1504
INFO 2026-06-24 17:38:55,320 basehttp 4524 11768 "GET /api/me/ HTTP/1.1" 200 70
INFO 2026-06-24 17:38:55,331 basehttp 4524 11768 "GET /api/me/ HTTP/1.1" 200 70
INFO 2026-06-24 17:38:55,334 basehttp 4524 5436 "GET /api/orders/ HTTP/1.1" 200 1556
INFO 2026-06-24 17:38:55,351 basehttp 4524 5436 "GET /api/orders/ HTTP/1.1" 200 1556
INFO 2026-06-24 17:38:58,351 basehttp 4524 5436 "GET /api/mix-designs/ HTTP/1.1" 200 3881
INFO 2026-06-24 17:38:58,363 basehttp 4524 5436 "GET /api/mix-designs/ HTTP/1.1" 200 3881
INFO 2026-06-24 17:38:58,376 basehttp 4524 5436 "GET /api/mix-designs/?page=2 HTTP/1.1" 200 3937
INFO 2026-06-24 17:38:58,385 basehttp 4524 5436 "GET /api/mix-designs/?page=3 HTTP/1.1" 200 3971
INFO 2026-06-24 17:38:58,403 basehttp 4524 5436 "GET /api/mix-designs/?page=4 HTTP/1.1" 200 3987
INFO 2026-06-24 17:38:58,412 basehttp 4524 5436 "GET /api/mix-designs/?page=5 HTTP/1.1" 200 3996
